Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
39  121  4  1  0.3339142397060746  0.2861171871475993  0  
40  124  3  1  0.3132290119342401  0.2691613811426528  0  
41  126  2  1  0.0809333497022600  0.1542750087763522  0  
42  130  4  1  0.2320011211373265  0.2732496281347953  0  
43  134  4  1  0.2676931817851778  0.2230998110196641  0  
44  139  5  1  0.2790596347237428  0.1956823993346047  0  
45  142  3  1  0.2166964592176812  0.1910701493070224  0  
46  145  3  1  0.1508905600807359  0.1517043865267712  0  
47  148  3  1  0.1412590609930077  0.1476459524128853  0  
48  149  1  1  1.0000000000000000  1.0000000000000000  0  
49  152  3  1  0.0960780667203730  0.3731221077189325  0  
50  155  3  1  0.0942211262688194  0.1412183505999569  0  
51  159  4  1  0.2640883556374467  0.2081725946951781  0  
52  162  3  1  0.1010025139740611  0.1625969048466573  0  
53  166  4  1  0.3281374557862284  0.2451905789665476  0  
54  170  4  1  0.1889062222805979  0.1664235580040631  0  
55  171  1  1  1.0000000000000000  1.0000000000000000  0  
56  175  4  1  0.2099688525444289  0.1646930626391526  0  
57  179  4  1  0.1185439145561830  0.1217657156636158  0  
58  183  4  1  0.1464935910352118  0.1948544883367537  0  
59  186  3  1  0.1519853507775489  0.1087043565035214  0  
60  189  3  1  0.0838295759561242  0.0979172058170605  0  
61  192  3  1  0.2533587433764106  0.1150172080914408  0  
62  195  3  1  0.1633202469910409  0.0990075926605322  0  
63  198  3  1  0.5040608442266014  0.1098710281815773  0  
64  201  3  1  0.3321475442803607  0.3328406785451690  0  
65  204  3  1  0.2789518301008661  0.1303442243229992  0  
66  207  3  1  0.2830242184297355  0.1217273581946375  0  
67  210  3  1  0.1406381204485206  0.1179746899805524  0  
68  213  3  1  0.2501822891850785  0.1229052604328147  0  
69  216  3  1  0.1182305584874690  0.0898945579406318  0  
70  218  2  1  0.0515050027032753  0.0648150102002990  0  
71  221  3  1  0.2377859574465842  0.1259150100746580  0  
72  224  3  1  0.2065303524185067  0.1311505780745557  0  
73  227  3  1  0.1923682905609857  0.1285591043459480  0  
74  230  3  1  0.2686912407291169  0.1154481459317132  0  
75  233  3  1  0.2278420274614389  0.1099573929624095  0  
76  236  3  1  0.6397675110527585  0.1163475570545424  0  
77  239  3  1  0.4724963006300222  0.0940786645606590  0  
78  241  2  1  0.2078564150706036  0.0535601755800252  0  
79  244  3  1  0.2597030888414013  0.0869263775019082  0  
80  247  3  1  0.3133263205195330  0.1478993194507287  0  
81  249  2  1  0.2233677476528796  0.0596153765989502  0  
82  251  2  1  0.2152034824557965  0.0557730967741862  0  
83  253  2  1  0.1730956864601571  0.0483035251402685  0  
84  255  2  1  0.1923205358199676  0.0610955947823108  0  
85  261  6  1  0.4715473315334395  0.3004787798808283  0  
86  265  4  1  0.2450381568452239  0.1475937736131663  0  
87  268  3  1  0.1728483867203647  0.1280075107069533  0  
88  271  3  1  0.3014589154694461  0.1313117840997290  0  
89  273  2  1  0.4022391119345320  0.0964921484336414  0  
90  274  1  1  1.0000000000000000  1.0000000000000000  0  
91  279  5  1  0.3714219760191377  0.4726531552114253  0  
92  284  5  1  0.1325520339910631  0.2509376068918408  0  
93  287  3  1  0.0948460272167193  0.1849932923353730  0  
94  290  3  1  0.1208078671826033  0.1701618153186666  0  
95  294  4  1  0.2875909648354310  0.2704519577492118  0  
96  300  6  1  0.4652431709730333  0.3710825470425853  0  
97  304  4  1  0.6734078797683903  0.2402783156968623  1  
98  308  4  1  0.3457193319956266  0.2097131249464763  0  
99  321  13  1  0.7955187264377418  0.8800525513574226  0  
