Timestep  Iteration  resNorm(0)  resNorm(1)  
12  2  0.0061723838804401  0.0003873623981130  
12  3  0.0000294330068599  0.0001763582371959  
13  1  0.0194831571929735  0.0008470332247943  
13  2  0.0135337355254083  0.0003817312591007  
13  3  0.0000828737961717  0.0000197975528022  
14  1  0.0379492504139471  0.0006539076236814  
14  2  0.0082610357993109  0.0002961837477260  
14  3  0.0005617935509383  0.0001276145924957  
15  1  0.0713901550545821  0.0005220802887586  
15  2  0.0216704081147902  0.0000936101822278  
15  3  0.0002616476491557  0.0000308981117968  
16  1  0.1175085850399894  0.0004675745826646  
16  2  0.0190230038073059  0.0000212723643013  
16  3  0.0001883948767646  0.0000069369405097  
17  1  0.0224281622447930  0.0004229855467435  
17  2  0.0013463439042255  0.0000220830561483  
17  3  0.0000081589048152  0.0000009433209758  
18  1  0.0082567175921931  0.0004316689772409  
18  2  0.0000044976368619  0.0000142439340064  
19  1  0.0019053611545633  0.0004717868101176  
19  2  0.0008570812360547  0.0000056378889660  
20  1  0.0020318599673643  0.0005109482796517  
20  2  0.0013769172314653  0.0000027368655139  
20  3  0.0000577526472195  0.0000009211896155  
21  1  0.0042674858371922  0.0005291568872341  
21  2  0.0011278165321036  0.0000039466324671  
21  3  0.0000032301933946  0.0000004165006592  
22  1  0.0076579745207790  0.0005444235192830  
22  2  0.0022392913079673  0.0000013133149585  
22  3  0.0000092345597187  0.0000018940231915  
23  1  0.0087932130300767  0.0005064700051976  
23  2  0.0018207781809693  0.0000026364876582  
23  3  0.0001262484360915  0.0000010541551654  
24  1  0.0120323793249703  0.0004823385790654  
24  2  0.0006842022730944  0.0000019580062093  
25  1  0.0140058450450129  0.0004759035737406  
25  2  0.0014436235797523  0.0000030167780068  
25  3  0.0001702981202017  0.0000004305023702  
26  1  0.0193931824290109  0.0003535897719012  
26  2  0.0010154573589021  0.0000022467244879  
26  3  0.0001038639178053  0.0000004008642275  
27  1  0.0233888182999693  0.0003390611954462  
27  2  0.0004496766905652  0.0000025724945066  
28  1  0.0445372990371827  0.0002562566406296  
28  2  0.0010555989580461  0.0000022015257527  
28  3  0.0000453867968379  0.0000002553170519  
29  1  0.2667172131231888  0.0002339476670947  
29  2  0.0139416813468834  0.0000009095038436  
29  3  0.0004436844202845  0.0000001367689117  
30  1  0.0397539638250676  0.0001746677737806  
30  2  0.0053679806660815  0.0000018438069685  
30  3  0.0001105289682790  0.0000003809973357  
31  1  0.0114492455154155  0.0001701280580051  
31  2  0.0031415463592883  0.0000020784809440  
31  3  0.0000846998592645  0.0000003995891950  
32  1  0.0040766647136433  0.0001579179315784  
32  2  0.0006539540497022  0.0000013267753692  
33  1  0.0005377279166570  0.0001602745646848  
34  1  0.1246368508697231  0.0000495372025179  
34  2  0.0173706066226147  0.0000385782132609  
34  3  0.0043968320477580  0.0000072317071145  
34  4  0.0004379890635107  0.0000014434923114  
35  1  0.1747568951222274  0.0008588967760611  
35  2  0.0108045734893108  0.0000211371472075  
35  3  0.0015015009756015  0.0000037141623864  
35  4  0.0003582917604673  0.0000003327892288  
36  1  0.1189904377537833  0.0010335779824510  
36  2  0.0111821375692428  0.0000093520674746  
36  3  0.0000603247716332  0.0000015915920717  
37  1  0.0732852674809528  0.0011067543100357  
37  2  0.0052375306578846  0.0000090244649128  
37  3  0.0006340912078708  0.0000005767466348  
38  1  0.0224274666346327  0.0005585835152230  
38  2  0.0355084534702821  0.0000057490856278  
38  3  0.0007599591729635  0.0000048050412102  
39  1  0.0349128614913059  0.0004240871571748  
39  2  0.0296881422110322  0.0000126000889932  
39  3  0.0012761257087528  0.0000064679131564  
39  4  0.0004340354527451  0.0000028420447236  
40  1  0.0033390677548688  0.0002123529871209  
40  2  0.0237259969108195  0.0000182644280720  
40  3  0.0001026150764939  0.0000041409178888  
41  1  0.0298930170796321  0.0001691028515644  
41  2  0.0001958054525369  0.0000040247794856  
42  1  0.0211116035526871  0.0001050061462867  
42  2  0.0146108541647183  0.0000166335338140  
42  3  0.0012228181259757  0.0000019642551023  
42  4  0.0000611619827964  0.0000005854004320  
43  1  0.0543634902705722  0.0000723493087048  
43  2  0.0305167781283877  0.0000033490421990  
43  3  0.0025222997224083  0.0000007649697468  
43  4  0.0002791621732934  0.0000001792384565  
44  1  0.3485427968770205  0.0000603560792100  
44  2  0.0056787598042751  0.0000029650393063  
44  3  0.0236042059713218  0.0000006054534432  
44  4  0.0019316985397440  0.0000000727253327  
44  5  0.0005898495045787  0.0000000173172866  
45  1  0.0424476373867410  0.0000498015534588  
45  2  0.0228303220950800  0.0000024333613068  
45  3  0.0004319256225582  0.0000003473932845  
46  1  0.0125060237546793  0.0000527745240467  
46  2  0.0014424583305326  0.0000011348023501  
46  3  0.0000429640744999  0.0000001842547705  
47  1  0.0043784524228962  0.0000579501818855  
47  2  0.0024846619454210  0.0000009474410237  
47  3  0.0000123415463875  0.0000001865174376  
48  1  0.0003824333841428  0.0000627912101095  
49  1  0.1398537427152429  0.0000376278399398  
49  2  0.0349258955694304  0.0000014196470684  
49  3  0.0001240357451873  0.0000019546195311  
50  1  0.1991416171550475  0.0002965410973111  
50  2  0.0044061950899274  0.0000115105302889  
50  3  0.0001665738805581  0.0000008351380948  
51  1  0.1415248674217175  0.0003664984219399  
51  2  0.0401755660562446  0.0000145679316397  
51  3  0.0021058752144811  0.0000015209372662  
51  4  0.0006883824131520  0.0000006882818707  
52  1  0.0892468902781997  0.0003817002815337  
52  2  0.0699163267214258  0.0000047545663475  
52  3  0.0000919580266942  0.0000016408138111  
